transaction_id,user_id,mechanic_id,service_type,time_of_request,time_taken,cost,user_feedback
txn_21,user_1409,mech_289,Transmission Repair,2024-06-21 17:06:54,54,599.25,3.9
txn_22,user_2167,mech_282,Engine Repair,2024-08-26 17:06:54,172,1305.09,3.7
txn_23,user_2589,mech_455,Engine Repair,2024-12-03 17:06:54,64,1581.11,4.7
txn_24,user_94,mech_423,Brake Repair,2024-12-03 17:06:54,97,2637.3,3.3
txn_25,user_2012,mech_415,Wheel Alignment,2024-11-23 17:06:54,57,3841.98,3.8
txn_26,user_2769,mech_455,Battery Change,2024-10-04 17:06:54,176,1814.41,3.3
txn_27,user_54,mech_88,Wheel Alignment,2024-07-22 17:06:54,84,2281.52,3.5
txn_28,user_2484,mech_144,Battery Change,2024-09-23 17:06:54,125,2980.49,4.1
txn_29,user_1195,mech_102,Engine Repair,2024-10-05 17:06:54,65,647.95,4.7
txn_30,user_751,mech_61,Transmission Repair,2025-01-01 17:06:54,151,1057.78,4.0
txn_31,user_2754,mech_243,Transmission Repair,2024-06-22 17:06:54,97,4979.98,4.2
txn_32,user_2185,mech_448,Oil Change,2025-01-27 17:06:54,65,1176.92,4.3
txn_33,user_1107,mech_33,Brake Repair,2025-01-19 17:06:54,62,3354.2,3.1
txn_34,user_633,mech_260,Transmission Repair,2024-06-09 17:06:54,178,2534.04,3.5
txn_35,user_1754,mech_107,Transmission Repair,2024-11-07 17:06:54,158,1000.78,4.7
txn_36,user_185,mech_295,Transmission Repair,2024-09-06 17:06:54,40,4526.69,4.9
txn_37,user_903,mech_91,Battery Change,2024-09-07 17:06:54,173,4681.8,3.3
txn_38,user_2197,mech_163,Brake Repair,2024-12-19 17:06:54,142,3063.15,3.1
txn_39,user_493,mech_467,AC Service,2024-09-22 17:06:54,156,1901.25,4.2
txn_40,user_358,mech_423,General Service,2024-07-07 17:06:54,177,1809.98,3.2
txn_41,user_154,mech_29,General Service,2024-12-22 17:06:54,114,4502.3,4.4
txn_42,user_1533,mech_463,Transmission Repair,2025-02-12 17:06:54,49,1718.82,4.1
txn_43,user_1457,mech_153,Wheel Alignment,2024-07-10 17:06:54,112,3751.25,3.4
txn_44,user_2143,mech_323,Tire Replacement,2024-04-06 17:06:54,103,3301.2,4.0
txn_45,user_1020,mech_107,Brake Repair,2024-09-10 17:06:54,101,4678.58,4.6
txn_46,user_927,mech_395,General Service,2024-07-29 17:06:54,36,4181.3,3.9
txn_47,user_325,mech_471,Oil Change,2024-10-16 17:06:54,135,2679.66,4.0
txn_48,user_2669,mech_37,Tire Replacement,2024-12-01 17:06:54,142,4387.85,4.1
txn_49,user_2991,mech_497,Engine Repair,2024-04-02 17:06:54,162,2158.03,3.7
txn_50,user_372,mech_112,Battery Change,2025-03-19 17:06:54,43,777.48,4.5
txn_51,user_324,mech_197,Brake Repair,2025-02-22 17:06:54,177,1239.09,4.0
txn_52,user_563,mech_414,Tire Replacement,2024-06-10 17:06:54,148,2751.23,3.8
txn_53,user_61,mech_13,Suspension Fix,2025-02-13 17:06:54,61,4687.04,4.7
txn_54,user_279,mech_478,Tire Replacement,2024-06-21 17:06:54,68,2378.01,3.4
txn_55,user_2804,mech_358,Wheel Alignment,2024-09-23 17:06:54,73,3041.94,4.0
txn_56,user_2597,mech_435,Battery Change,2024-06-25 17:06:54,76,941.53,3.9
txn_57,user_2156,mech_139,Oil Change,2024-09-02 17:06:54,83,2471.38,4.4
txn_58,user_17,mech_87,Transmission Repair,2024-11-03 17:06:54,94,3055.11,4.3
txn_59,user_2591,mech_214,Wheel Alignment,2024-07-06 17:06:54,149,1397.61,3.0
txn_60,user_934,mech_182,AC Service,2024-09-05 17:06:54,76,2961.63,4.3
txn_61,user_1592,mech_77,Tire Replacement,2024-12-28 17:06:54,120,1112.32,4.8
txn_62,user_686,mech_289,Brake Repair,2024-05-21 17:06:54,83,2943.59,4.8
txn_63,user_2625,mech_216,Suspension Fix,2025-01-06 17:06:54,81,1384.34,4.4
txn_64,user_963,mech_180,Tire Replacement,2024-09-12 17:06:54,128,2732.18,4.8
txn_65,user_2921,mech_311,Battery Change,2024-12-10 17:06:54,46,4056.81,4.9
txn_66,user_1896,mech_498,Engine Repair,2024-09-23 17:06:54,63,2965.08,3.8
txn_67,user_1964,mech_426,AC Service,2024-03-23 17:06:54,157,1145.46,4.3
txn_68,user_1208,mech_380,Oil Change,2025-03-15 17:06:54,157,3059.96,3.2
txn_69,user_2609,mech_1,Transmission Repair,2024-05-17 17:06:54,40,3003.08,3.2
txn_70,user_2770,mech_410,Suspension Fix,2024-12-19 17:06:54,41,505.77,4.2
txn_71,user_2833,mech_368,Tire Replacement,2024-06-18 17:06:54,171,770.77,4.2
txn_72,user_1183,mech_426,Battery Change,2024-07-04 17:06:54,112,2267.74,3.4
txn_73,user_2280,mech_387,Brake Repair,2025-01-15 17:06:54,62,876.58,4.2
txn_74,user_939,mech_463,Battery Change,2024-10-21 17:06:54,65,4002.53,4.1
txn_75,user_407,mech_80,Battery Change,2024-11-12 17:06:54,164,526.79,4.9
txn_76,user_504,mech_330,Oil Change,2024-03-24 17:06:54,57,3825.34,3.7
txn_77,user_2665,mech_453,AC Service,2024-08-25 17:06:54,40,3496.51,3.3
txn_78,user_895,mech_483,Oil Change,2024-11-27 17:06:54,142,859.94,3.7
txn_79,user_552,mech_149,Engine Repair,2024-06-22 17:06:54,176,3796.29,4.4
txn_80,user_1021,mech_139,Tire Replacement,2024-10-31 17:06:54,126,1135.66,3.1
txn_81,user_863,mech_289,Transmission Repair,2024-08-17 17:06:54,44,4706.85,3.4
txn_82,user_2485,mech_414,Engine Repair,2025-03-17 17:06:54,70,4694.96,4.2
txn_83,user_791,mech_318,Tire Replacement,2024-12-09 17:06:54,123,612.9,3.3
txn_84,user_2604,mech_81,Battery Change,2025-02-15 17:06:54,56,1435.42,3.6
txn_85,user_2943,mech_63,Tire Replacement,2025-03-14 17:06:54,31,3180.36,4.3
txn_86,user_544,mech_390,AC Service,2024-09-19 17:06:54,103,3961.52,4.9
txn_87,user_2087,mech_354,Oil Change,2024-11-29 17:06:54,154,2397.94,4.7
txn_88,user_1901,mech_12,Battery Change,2024-05-15 17:06:54,62,3276.44,3.5
txn_89,user_1022,mech_315,Oil Change,2025-03-22 17:06:54,151,1855.25,3.4
txn_90,user_649,mech_344,General Service,2024-06-12 17:06:54,170,2801.67,3.1
txn_91,user_254,mech_319,Transmission Repair,2024-09-06 17:06:54,97,1503.51,4.1
txn_92,user_528,mech_61,Tire Replacement,2024-10-30 17:06:54,39,1396.42,3.7
txn_93,user_195,mech_481,Transmission Repair,2024-06-08 17:06:54,180,2321.5,3.6
txn_94,user_904,mech_92,Tire Replacement,2025-02-15 17:06:54,41,1132.1,4.8
txn_95,user_927,mech_181,Tire Replacement,2024-06-29 17:06:54,162,4301.15,4.9
txn_96,user_2091,mech_367,Suspension Fix,2024-08-10 17:06:54,168,966.68,3.5
txn_97,user_140,mech_329,Battery Change,2025-03-05 17:06:54,166,4502.43,4.6
txn_98,user_916,mech_401,General Service,2024-06-18 17:06:54,160,2726.95,4.4
txn_99,user_2159,mech_16,Engine Repair,2025-01-15 17:06:54,178,1400.1,4.3
txn_100,user_1294,mech_390,Battery Change,2024-11-09 17:06:54,123,2763.12,4.4
txn_101,user_2159,mech_460,Wheel Alignment,2024-09-19 17:06:54,83,4960.32,4.7
txn_102,user_2952,mech_352,Engine Repair,2025-01-17 17:06:54,86,4047.63,4.2
txn_103,user_1499,mech_320,Wheel Alignment,2024-11-29 17:06:54,66,4271.45,4.3
txn_104,user_58,mech_385,Wheel Alignment,2024-04-04 17:06:54,115,4380.28,3.2
txn_105,user_406,mech_190,Oil Change,2025-01-11 17:06:54,106,4111.81,4.9
txn_106,user_1866,mech_186,AC Service,2024-07-27 17:06:54,114,3324.5,4.3
txn_107,user_2278,mech_388,Tire Replacement,2024-09-21 17:06:54,118,3442.81,3.9
txn_108,user_662,mech_178,Transmission Repair,2024-11-28 17:06:54,153,1556.47,4.3
txn_109,user_2939,mech_497,Oil Change,2024-09-15 17:06:54,100,1035.79,3.1
txn_110,user_2023,mech_73,Brake Repair,2024-06-27 17:06:54,166,2675.43,3.4
txn_111,user_2963,mech_335,AC Service,2024-06-28 17:06:54,88,2141.87,3.9
txn_112,user_2190,mech_477,General Service,2024-12-09 17:06:54,163,1797.68,3.7
txn_113,user_2557,mech_475,Wheel Alignment,2024-04-07 17:06:54,142,2916.61,4.0
txn_114,user_1369,mech_207,Suspension Fix,2025-01-25 17:06:54,155,2893.71,4.1
txn_115,user_1687,mech_106,Suspension Fix,2025-01-28 17:06:54,144,3064.99,3.3
txn_116,user_107,mech_369,Engine Repair,2024-11-19 17:06:54,68,1555.64,4.6
txn_117,user_1957,mech_364,Suspension Fix,2025-02-23 17:06:54,170,4253.24,4.9
txn_118,user_933,mech_368,General Service,2024-03-29 17:06:54,64,2565.36,3.2
txn_119,user_2644,mech_11,Tire Replacement,2024-04-19 17:06:54,109,564.59,4.1
txn_120,user_1524,mech_495,AC Service,2025-01-18 17:06:54,39,3916.6,4.6
txn_121,user_94,mech_246,Brake Repair,2025-01-02 17:06:54,55,2317.27,4.9
txn_122,user_558,mech_146,Wheel Alignment,2024-07-24 17:06:54,79,3756.96,3.8
txn_123,user_385,mech_395,Suspension Fix,2024-12-28 17:06:54,177,956.56,4.6
txn_124,user_445,mech_17,Battery Change,2024-06-23 17:06:54,99,4605.35,3.8
txn_125,user_737,mech_22,Tire Replacement,2025-03-23 17:06:54,180,3191.5,3.3
txn_126,user_2927,mech_414,General Service,2024-08-12 17:06:54,52,2619.59,3.4
txn_127,user_2889,mech_34,General Service,2024-04-25 17:06:54,30,4748.92,3.3
txn_128,user_2761,mech_120,Engine Repair,2024-09-10 17:06:54,88,3658.75,4.7
txn_129,user_2489,mech_391,Battery Change,2024-11-06 17:06:54,53,1693.62,4.3
txn_130,user_639,mech_278,Brake Repair,2024-06-25 17:06:54,41,1676.17,4.9
txn_131,user_1205,mech_288,Oil Change,2024-11-09 17:06:54,52,2514.88,4.6
txn_132,user_338,mech_428,Transmission Repair,2025-02-19 17:06:54,153,2279.62,3.2
txn_133,user_1751,mech_278,Oil Change,2024-08-07 17:06:54,36,3751.45,3.9
txn_134,user_2535,mech_69,Brake Repair,2024-10-06 17:06:54,140,3518.11,4.1
txn_135,user_2708,mech_183,Wheel Alignment,2024-09-11 17:06:54,178,2519.78,4.6
txn_136,user_2227,mech_482,Oil Change,2024-08-22 17:06:54,71,2781.09,4.1
txn_137,user_1980,mech_220,General Service,2024-10-20 17:06:54,97,3529.05,4.5
txn_138,user_1867,mech_399,Transmission Repair,2024-04-03 17:06:54,159,1913.86,3.1
txn_139,user_1213,mech_339,Brake Repair,2024-08-15 17:06:54,93,3006.85,4.5
txn_140,user_1925,mech_138,Brake Repair,2024-12-05 17:06:54,61,3707.4,3.2
txn_141,user_1187,mech_484,Suspension Fix,2024-03-31 17:06:54,169,3522.27,3.9
txn_142,user_2971,mech_271,Suspension Fix,2024-11-26 17:06:54,51,2575.65,3.1
txn_143,user_2027,mech_149,AC Service,2025-01-31 17:06:54,98,2956.48,4.9
txn_144,user_1005,mech_195,Engine Repair,2024-10-26 17:06:54,45,3969.2,4.8
txn_145,user_2356,mech_180,Battery Change,2024-05-05 17:06:54,143,2216.45,3.2
txn_146,user_2155,mech_98,Transmission Repair,2024-07-04 17:06:54,113,2684.51,4.6
txn_147,user_367,mech_473,Battery Change,2024-10-25 17:06:54,167,3622.94,4.5
txn_148,user_2462,mech_263,Battery Change,2024-06-24 17:06:54,78,4106.49,5.0
txn_149,user_1415,mech_32,General Service,2025-02-19 17:06:54,78,898.65,3.3
txn_150,user_2653,mech_255,Wheel Alignment,2024-11-05 17:06:54,80,2639.73,3.8
txn_151,user_92,mech_443,Transmission Repair,2024-11-12 17:06:54,127,3751.67,3.5
txn_152,user_1225,mech_206,Engine Repair,2024-07-03 17:06:54,170,4276.22,3.7
txn_153,user_1202,mech_101,Suspension Fix,2024-10-02 17:06:54,88,2845.79,3.7
txn_154,user_255,mech_424,Suspension Fix,2025-01-08 17:06:54,173,4308.53,5.0
txn_155,user_1573,mech_119,General Service,2024-12-17 17:06:54,39,4621.39,3.5
txn_156,user_37,mech_363,Wheel Alignment,2024-06-12 17:06:54,125,1047.05,4.2
txn_157,user_669,mech_184,Suspension Fix,2024-09-07 17:06:54,133,932.62,4.5
txn_158,user_2002,mech_54,Oil Change,2024-08-16 17:06:54,56,3309.96,4.6
txn_159,user_912,mech_475,Transmission Repair,2024-08-22 17:06:54,99,3949.16,4.7
txn_160,user_1285,mech_361,Battery Change,2024-12-24 17:06:54,165,3400.05,4.1
txn_161,user_333,mech_478,Oil Change,2024-04-02 17:06:54,98,983.76,4.4
txn_162,user_1033,mech_186,Oil Change,2024-06-04 17:06:54,164,1895.76,5.0
txn_163,user_1593,mech_419,Tire Replacement,2024-12-26 17:06:54,109,4975.08,3.4
txn_164,user_1059,mech_371,Engine Repair,2024-10-14 17:06:54,110,3818.87,3.7
txn_165,user_2602,mech_320,Suspension Fix,2024-06-19 17:06:54,94,2293.15,3.2
txn_166,user_1329,mech_415,Engine Repair,2024-07-17 17:06:54,40,3698.83,4.2
txn_167,user_2474,mech_446,Oil Change,2024-03-29 17:06:54,36,3637.02,3.6
txn_168,user_2401,mech_365,Suspension Fix,2024-09-05 17:06:54,89,681.37,4.3
txn_169,user_438,mech_146,Tire Replacement,2025-01-21 17:06:54,56,3052.71,3.5
txn_170,user_1770,mech_340,Brake Repair,2024-10-26 17:06:54,76,3165.69,4.4
txn_171,user_6,mech_381,General Service,2024-11-27 17:06:54,120,1406.69,4.4
txn_172,user_2259,mech_115,General Service,2024-12-13 17:06:54,100,3159.21,3.7
txn_173,user_2840,mech_87,Brake Repair,2025-02-13 17:06:54,123,4649.75,3.5
txn_174,user_890,mech_490,Oil Change,2025-01-02 17:06:54,149,3874.5,3.3
txn_175,user_2234,mech_105,Engine Repair,2025-02-22 17:06:54,109,3726.08,4.0
txn_176,user_1280,mech_334,AC Service,2025-01-21 17:06:54,139,2598.37,3.9
txn_177,user_1616,mech_193,Engine Repair,2025-02-01 17:06:54,78,4115.45,3.5
txn_178,user_2606,mech_205,General Service,2024-03-26 17:06:54,169,4471.35,4.1
txn_179,user_2983,mech_453,Brake Repair,2024-10-12 17:06:54,140,2518.62,3.8
txn_180,user_1194,mech_35,General Service,2024-08-30 17:06:54,168,661.26,3.1
txn_181,user_1519,mech_227,Engine Repair,2024-07-13 17:06:54,142,3952.22,3.9
txn_182,user_1714,mech_457,Tire Replacement,2024-03-30 17:06:54,51,4084.49,3.9
txn_183,user_8,mech_213,AC Service,2025-01-21 17:06:54,126,2702.57,4.9
txn_184,user_1705,mech_299,Brake Repair,2024-09-18 17:06:54,127,875.92,4.2
txn_185,user_470,mech_60,Engine Repair,2024-03-24 17:06:54,146,1214.83,3.2
txn_186,user_197,mech_467,General Service,2025-01-13 17:06:54,69,2409.26,3.6
txn_187,user_1302,mech_144,General Service,2024-03-28 17:06:54,63,2694.54,4.3
txn_188,user_2080,mech_98,General Service,2024-12-01 17:06:54,94,2828.26,3.0
txn_189,user_363,mech_484,General Service,2025-01-04 17:06:54,31,2284.59,4.1
txn_190,user_2920,mech_163,Oil Change,2024-11-23 17:06:54,135,1869.85,4.2
txn_191,user_23,mech_344,AC Service,2024-04-20 17:06:54,129,4572.4,3.3
txn_192,user_1318,mech_306,Brake Repair,2025-01-24 17:06:54,121,4748.28,4.2
txn_193,user_1357,mech_468,Wheel Alignment,2024-11-16 17:06:54,64,2010.01,3.3
txn_194,user_2424,mech_204,Engine Repair,2024-06-18 17:06:54,110,3975.31,4.2
txn_195,user_1283,mech_254,Engine Repair,2024-11-08 17:06:54,117,527.84,3.5
txn_196,user_2500,mech_16,Battery Change,2024-04-10 17:06:54,167,4840.2,4.8
txn_197,user_1222,mech_242,Suspension Fix,2024-04-14 17:06:54,52,3920.45,3.1
txn_198,user_2791,mech_54,Engine Repair,2024-03-25 17:06:54,104,4278.68,4.9
txn_199,user_272,mech_268,Wheel Alignment,2024-04-23 17:06:54,126,2462.24,4.6
txn_200,user_755,mech_14,AC Service,2025-02-04 17:06:54,86,2693.78,3.4
txn_201,user_1241,mech_131,Battery Change,2025-01-15 17:06:54,169,631.63,3.8
txn_202,user_2729,mech_134,Wheel Alignment,2025-01-11 17:06:54,173,4969.6,4.5
txn_203,user_1400,mech_82,Battery Change,2024-04-26 17:06:54,133,1594.64,4.9
txn_204,user_121,mech_353,Suspension Fix,2025-03-09 17:06:54,168,2846.95,3.6
txn_205,user_808,mech_341,Oil Change,2025-02-11 17:06:54,74,4128.64,4.7
txn_206,user_402,mech_388,Engine Repair,2024-09-26 17:06:54,38,984.61,3.3
txn_207,user_846,mech_397,Oil Change,2024-07-15 17:06:54,145,3235.18,3.0
txn_208,user_258,mech_375,Tire Replacement,2024-09-22 17:06:54,108,1340.69,3.8
txn_209,user_1254,mech_283,Brake Repair,2024-10-20 17:06:54,120,3869.74,4.7
txn_210,user_2118,mech_487,Battery Change,2024-12-25 17:06:54,142,3661.56,4.7
txn_211,user_1074,mech_229,Tire Replacement,2024-05-02 17:06:54,111,2470.4,3.5
txn_212,user_365,mech_11,Suspension Fix,2025-02-27 17:06:54,124,4179.93,4.6
txn_213,user_2329,mech_169,Tire Replacement,2025-03-18 17:06:54,30,3378.65,4.1
txn_214,user_523,mech_71,Engine Repair,2024-05-08 17:06:54,60,2850.82,4.9
txn_215,user_650,mech_85,Oil Change,2024-07-01 17:06:54,39,1596.37,4.1
txn_216,user_2663,mech_450,Tire Replacement,2024-09-29 17:06:54,50,1788.67,3.5
txn_217,user_55,mech_65,Engine Repair,2024-06-18 17:06:54,143,1954.1,4.1
txn_218,user_400,mech_115,General Service,2024-07-29 17:06:54,71,838.08,4.5
txn_219,user_149,mech_346,General Service,2024-04-26 17:06:54,169,2994.95,3.0
txn_220,user_529,mech_211,Battery Change,2025-02-10 17:06:54,162,1781.37,3.9
txn_221,user_853,mech_69,Brake Repair,2024-05-21 17:06:54,107,1735.89,4.1
txn_222,user_2583,mech_333,Transmission Repair,2025-01-07 17:06:54,138,3180.92,3.7
txn_223,user_1928,mech_228,AC Service,2025-03-13 17:06:54,103,2937.44,4.0
txn_224,user_918,mech_120,Engine Repair,2025-02-04 17:06:54,58,1251.61,4.5
txn_225,user_2560,mech_432,Wheel Alignment,2025-02-26 17:06:54,177,1798.78,4.9
txn_226,user_1541,mech_493,General Service,2024-05-23 17:06:54,145,3634.23,3.3
txn_227,user_1401,mech_457,General Service,2024-08-15 17:06:54,50,2624.41,4.9
txn_228,user_1523,mech_295,Transmission Repair,2024-04-04 17:06:54,149,3866.87,4.4
txn_229,user_884,mech_269,Engine Repair,2024-07-18 17:06:54,105,3387.62,4.2
txn_230,user_579,mech_51,Tire Replacement,2024-11-26 17:06:54,89,2161.13,5.0
txn_231,user_921,mech_257,Engine Repair,2025-02-04 17:06:54,180,2617.31,3.5
txn_232,user_1329,mech_405,Tire Replacement,2024-05-17 17:06:54,141,2967.06,4.3
txn_233,user_1910,mech_378,Wheel Alignment,2024-10-20 17:06:54,105,4437.21,4.7
txn_234,user_738,mech_400,Wheel Alignment,2024-07-08 17:06:54,124,2843.73,4.8
txn_235,user_512,mech_364,Battery Change,2024-11-14 17:06:54,146,4265.54,4.5
txn_236,user_2721,mech_484,Battery Change,2024-11-06 17:06:54,59,3961.49,4.9
txn_237,user_2713,mech_175,Suspension Fix,2024-11-21 17:06:54,50,4483.44,4.3
txn_238,user_1474,mech_396,Tire Replacement,2024-09-24 17:06:54,152,2560.81,3.9
txn_239,user_1904,mech_141,Suspension Fix,2024-10-21 17:06:54,58,2274.44,4.1
txn_240,user_1719,mech_152,Brake Repair,2024-10-04 17:06:54,64,2256.06,3.2
txn_241,user_432,mech_32,Brake Repair,2024-08-27 17:06:54,82,4236.98,4.0
txn_242,user_2855,mech_424,Engine Repair,2024-11-08 17:06:54,99,3030.61,4.9
txn_243,user_1834,mech_28,AC Service,2024-12-16 17:06:54,47,1930.34,3.6
txn_244,user_109,mech_181,Oil Change,2024-10-17 17:06:54,99,961.14,4.9
txn_245,user_1119,mech_273,Oil Change,2024-09-28 17:06:54,153,4496.28,3.8
txn_246,user_2693,mech_156,Wheel Alignment,2024-11-02 17:06:54,82,1552.75,3.8
txn_247,user_2880,mech_430,Oil Change,2024-10-26 17:06:54,180,2152.87,4.8
txn_248,user_622,mech_335,General Service,2025-03-02 17:06:54,82,4449.22,4.0
txn_249,user_1249,mech_475,General Service,2024-07-03 17:06:54,135,3582.4,3.1
txn_250,user_1767,mech_488,Engine Repair,2024-04-10 17:06:54,44,723.69,3.5
txn_251,user_2015,mech_175,Wheel Alignment,2024-06-20 17:06:54,58,2032.69,4.1
txn_252,user_815,mech_96,AC Service,2025-02-03 17:06:54,77,3854.56,4.1
txn_253,user_1313,mech_37,Oil Change,2025-01-12 17:06:54,160,793.82,5.0
txn_254,user_1552,mech_213,AC Service,2024-12-21 17:06:54,71,2928.77,3.3
txn_255,user_243,mech_359,Transmission Repair,2024-06-06 17:06:54,153,879.93,4.2
txn_256,user_625,mech_249,Oil Change,2024-04-19 17:06:54,168,3167.92,4.5
txn_257,user_1412,mech_378,Engine Repair,2024-05-29 17:06:54,36,1626.52,4.9
txn_258,user_980,mech_443,Oil Change,2025-01-24 17:06:54,141,3596.88,3.9
txn_259,user_86,mech_346,Oil Change,2024-12-29 17:06:54,116,3268.56,3.9
txn_260,user_333,mech_405,Engine Repair,2024-05-17 17:06:54,41,3251.26,4.7
txn_261,user_1834,mech_308,Transmission Repair,2024-09-20 17:06:54,46,2088.74,3.8
txn_262,user_475,mech_209,Battery Change,2024-08-08 17:06:54,49,4965.73,4.0
txn_263,user_1471,mech_493,Tire Replacement,2025-01-13 17:06:54,75,4695.15,4.4
txn_264,user_1018,mech_27,Transmission Repair,2025-03-19 17:06:54,160,4018.89,4.3
txn_265,user_2829,mech_452,Suspension Fix,2024-09-29 17:06:54,130,4175.95,4.2
txn_266,user_1207,mech_493,Suspension Fix,2024-08-23 17:06:54,64,1548.93,4.3
txn_267,user_1627,mech_94,Wheel Alignment,2024-06-30 17:06:54,95,3767.85,3.8
txn_268,user_2442,mech_12,Suspension Fix,2024-10-27 17:06:54,58,1885.38,4.6
txn_269,user_1559,mech_368,General Service,2024-06-13 17:06:54,162,4663.88,3.2
txn_270,user_2023,mech_36,Tire Replacement,2024-04-07 17:06:54,130,805.99,4.6
txn_271,user_187,mech_392,Oil Change,2024-04-28 17:06:54,158,4123.44,3.8
txn_272,user_2296,mech_436,Transmission Repair,2024-04-22 17:06:54,88,4221.74,4.4
txn_273,user_826,mech_187,Wheel Alignment,2025-02-06 17:06:54,123,2175.18,4.2
txn_274,user_2338,mech_10,Engine Repair,2024-12-19 17:06:54,57,4582.23,4.8
txn_275,user_913,mech_392,General Service,2024-06-14 17:06:54,96,2702.99,4.1
txn_276,user_1331,mech_117,Brake Repair,2024-10-25 17:06:54,111,1758.97,3.8
txn_277,user_2776,mech_483,Engine Repair,2024-07-16 17:06:54,132,1476.33,4.0
txn_278,user_785,mech_110,AC Service,2024-09-20 17:06:54,77,2210.78,4.0
txn_279,user_403,mech_184,Oil Change,2024-07-31 17:06:54,132,4436.39,4.5
txn_280,user_2596,mech_335,Brake Repair,2024-04-20 17:06:54,130,4790.34,3.7
txn_281,user_1291,mech_352,Engine Repair,2025-03-04 17:06:54,34,4511.33,3.8
txn_282,user_2745,mech_339,Wheel Alignment,2024-04-29 17:06:54,94,2175.21,3.6
txn_283,user_2859,mech_138,Wheel Alignment,2024-05-17 17:06:54,42,2601.83,3.9
txn_284,user_1981,mech_203,Brake Repair,2024-08-20 17:06:54,41,3556.3,4.9
txn_285,user_801,mech_225,Battery Change,2024-09-29 17:06:54,97,4226.07,4.8
txn_286,user_609,mech_219,Oil Change,2024-04-16 17:06:54,34,2761.46,3.1
txn_287,user_2554,mech_121,General Service,2024-09-02 17:06:54,61,2603.35,3.5
txn_288,user_902,mech_310,Battery Change,2024-07-12 17:06:54,54,1196.74,4.2
txn_289,user_920,mech_112,Oil Change,2024-08-30 17:06:54,174,3856.72,3.6
txn_290,user_2005,mech_410,AC Service,2024-05-19 17:06:54,39,3978.85,3.7
txn_291,user_1480,mech_252,Battery Change,2024-10-26 17:06:54,74,4196.7,3.3
txn_292,user_2837,mech_258,Engine Repair,2024-03-30 17:06:54,130,4754.89,3.3
txn_293,user_506,mech_388,Suspension Fix,2024-08-06 17:06:54,164,3535.85,3.1
txn_294,user_1690,mech_258,Brake Repair,2025-03-09 17:06:54,43,4204.54,4.5
txn_295,user_1303,mech_370,General Service,2024-07-30 17:06:54,77,3115.7,4.2
txn_296,user_1948,mech_72,Brake Repair,2025-03-19 17:06:54,150,1276.75,4.0
txn_297,user_2075,mech_307,General Service,2024-09-14 17:06:54,33,2501.84,3.5
txn_298,user_1933,mech_291,Engine Repair,2024-10-23 17:06:54,36,1290.19,4.1
txn_299,user_233,mech_381,Brake Repair,2024-08-28 17:06:54,101,1115.46,5.0
txn_300,user_1281,mech_329,General Service,2024-07-17 17:06:54,126,3286.84,4.9
txn_301,user_624,mech_481,Brake Repair,2024-11-03 17:06:54,59,1978.97,4.5
txn_302,user_1266,mech_141,Suspension Fix,2024-12-31 17:06:54,98,2686.27,3.2
txn_303,user_148,mech_482,AC Service,2024-08-30 17:06:54,125,3216.61,4.8
txn_304,user_1946,mech_104,Brake Repair,2025-02-02 17:06:54,86,4538.72,4.6
txn_305,user_1633,mech_75,AC Service,2024-11-28 17:06:54,70,1792.23,4.2
txn_306,user_989,mech_477,Oil Change,2024-07-16 17:06:54,161,2475.92,4.8
